%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+1.787e+03	+6.949e+03	+9.188e+03	+0.795
0.100	+2.998e+03	+7.043e+03	+9.771e+03	+0.701
0.200	+3.063e+03	+7.475e+03	+1.048e+04	+0.709
0.300	+2.063e+03	+8.694e+03	+1.081e+04	+0.808
0.400	+1.315e+03	+8.080e+03	+1.081e+04	+0.860
0.500	+3.331e+03	+5.664e+03	+1.080e+04	+0.630
0.600	+2.927e+03	+5.845e+03	+1.045e+04	+0.666
0.700	+3.133e+03	+7.524e+03	+1.022e+04	+0.706
0.800	+3.898e+03	+7.987e+03	+9.610e+03	+0.672
0.900	+3.280e+03	+5.755e+03	+1.063e+04	+0.637
1.000	+3.496e+03	+6.631e+03	+1.022e+04	+0.655
1.100	+1.596e+03	+6.716e+03	+9.921e+03	+0.808
1.200	+2.323e+03	+7.656e+03	+8.188e+03	+0.767
1.300	+3.088e+03	+5.994e+03	+1.114e+04	+0.660
1.400	+3.298e+03	+7.382e+03	+9.615e+03	+0.691
1.500	+2.847e+03	+8.013e+03	+9.886e+03	+0.738
1.600	+3.325e+03	+6.067e+03	+9.654e+03	+0.646
1.700	+1.110e+03	+7.321e+03	+9.611e+03	+0.868
1.800	+3.151e+03	+7.523e+03	+1.109e+04	+0.705
1.900	+2.064e+03	+5.827e+03	+1.116e+04	+0.738
2.000	+2.627e+03	+7.123e+03	+1.033e+04	+0.731
2.100	+1.220e+03	+6.985e+03	+8.938e+03	+0.851
2.200	+1.232e+03	+7.950e+03	+9.832e+03	+0.866
2.300	+2.967e+03	+6.193e+03	+9.931e+03	+0.676
2.400	+3.783e+03	+8.850e+03	+9.487e+03	+0.701
2.500	+4.304e+03	+7.842e+03	+9.710e+03	+0.646
2.600	+3.248e+03	+5.799e+03	+9.343e+03	+0.641
2.700	+4.270e+03	+7.945e+03	+1.203e+04	+0.650
2.800	+6.081e+03	+3.800e+03	+9.631e+03	+0.385
2.900	+7.542e+03	+2.498e+03	+1.085e+04	+0.249
3.000	+5.535e+03	+3.437e+03	+1.029e+04	+0.383
3.100	+6.736e+03	+2.323e+03	+9.584e+03	+0.256
3.200	+3.133e+03	+5.465e+03	+9.183e+03	+0.636
3.300	+2.025e+03	+7.604e+03	+1.012e+04	+0.790
3.400	+2.909e+03	+7.544e+03	+9.154e+03	+0.722
3.500	+3.665e+03	+7.858e+03	+9.597e+03	+0.682
3.600	+2.205e+03	+7.624e+03	+1.043e+04	+0.776
3.700	+1.807e+03	+7.079e+03	+9.273e+03	+0.797
3.800	+4.188e+03	+5.853e+03	+1.049e+04	+0.583
